id,k,np
p1070,0.1,156
p1071,0.1,157
p1072,0.1,158
p1073,0.1,159
p1074,0.1,160
p1075,0.1,161
p1076,0.1,162
p1077,0.1,163
p1078,0.1,164
p1079,0.1,165
p1080,0.1,166
p1081,0.1,167
p1082,0.1,168
p1083,0.1,169
p1084,0.1,170
p1085,0.1,171
p1086,0.1,172
p1087,0.1,173
p1088,0.1,174
p1089,0.1,175
p1090,0.1,176
p1091,0.1,177
p1092,0.1,178
p1093,0.1,179
p1094,0.1,180
p1095,0.1,181
p1096,0.1,182
p1097,0.1,183
p1098,0.1,184
p1099,0.1,185
p1100,0.1,186
p1101,0.1,187
p1102,0.1,188
p1103,0.1,189
p1104,0.1,190
p1105,0.1,191
p1106,0.1,192
p1107,0.1,193
p1108,0.1,194
p1109,0.1,195
p1110,0.1,196
p1111,0.1,197
p1112,0.1,198
p1113,0.1,199
p1114,0.1,200
p1115,0.1,201
p1116,0.1,202
p1117,0.1,203
p1118,0.1,204
p1119,0.1,205
p1120,0.1,206
p1121,0.1,207
p1122,0.1,208
p1123,0.1,209
p1124,0.1,210
p1125,0.1,211
p1126,0.1,212
p1127,0.1,213
p1128,0.1,214
p1129,0.1,215
p1130,0.1,216
p1131,0.1,217
p1132,0.1,218
p1133,0.1,219
p1134,0.1,220
p1135,0.1,221
p1136,0.1,222
p1137,0.1,223
p1138,0.1,224
p1139,0.1,225
p1140,0.1,226
p1141,0.1,227
p1142,0.1,228
p1143,0.1,229
p1144,0.1,230
p1145,0.125,2
p1146,0.125,3
p1147,0.125,4
p1148,0.125,5
p1149,0.125,6
p1150,0.125,7
p1151,0.125,8
p1152,0.125,9
p1153,0.125,10
p1154,0.125,11
p1155,0.125,12
p1156,0.125,13
p1157,0.125,14
p1158,0.125,15
p1159,0.125,16
p1160,0.125,17
p1161,0.125,18
p1162,0.125,19
p1163,0.125,20
p1164,0.125,21
p1165,0.125,22
p1166,0.125,23
p1167,0.125,24
p1168,0.125,25
p1169,0.125,26
p1170,0.125,27
p1171,0.125,28
p1172,0.125,29
p1173,0.125,30
p1174,0.125,31
p1175,0.125,32
p1176,0.125,33
p1177,0.125,34
p1178,0.125,35
p1179,0.125,36
p1180,0.125,37
p1181,0.125,38
p1182,0.125,39
p1183,0.125,40
p1184,0.125,41
p1185,0.125,42
p1186,0.125,43
p1187,0.125,44
p1188,0.125,45
p1189,0.125,46
p1190,0.125,47
p1191,0.125,48
p1192,0.125,49
p1193,0.125,50
p1194,0.125,51
p1195,0.125,52
p1196,0.125,53
p1197,0.125,54
p1198,0.125,55
p1199,0.125,56
p1200,0.125,57
p1201,0.125,58
p1202,0.125,59
p1203,0.125,60
p1204,0.125,61
p1205,0.125,62
p1206,0.125,63
p1207,0.125,64
p1208,0.125,65
p1209,0.125,66
p1210,0.125,67
p1211,0.125,68
p1212,0.125,69
p1213,0.125,70
p1214,0.125,71
p1215,0.125,72
p1216,0.125,73
p1217,0.125,74
p1218,0.125,75
p1219,0.125,76
p1220,0.125,77
p1221,0.125,78
p1222,0.125,79
p1223,0.125,80
p1224,0.125,81
p1225,0.125,82
p1226,0.125,83
p1227,0.125,84
p1228,0.125,85
p1229,0.125,86
p1230,0.125,87
p1231,0.125,88
p1232,0.125,89
p1233,0.125,90
p1234,0.125,91
p1235,0.125,92
p1236,0.125,93
p1237,0.125,94
p1238,0.125,95
p1239,0.125,96
p1240,0.125,97
p1241,0.125,98
p1242,0.125,99
p1243,0.125,100
p1244,0.125,101
p1245,0.125,102
p1246,0.125,103
p1247,0.125,104
p1248,0.125,105
p1249,0.125,106
p1250,0.125,107
p1251,0.125,108
p1252,0.125,109
p1253,0.125,110
p1254,0.125,111
p1255,0.125,112
p1256,0.125,113
p1257,0.125,114
p1258,0.125,115
p1259,0.125,116
p1260,0.125,117
p1261,0.125,118
p1262,0.125,119
p1263,0.125,120
p1264,0.125,121
p1265,0.125,122
p1266,0.125,123
p1267,0.125,124
p1268,0.125,125
p1269,0.125,126
p1270,0.125,127
p1271,0.125,128
p1272,0.125,129
p1273,0.125,130
p1274,0.125,131
p1275,0.125,132
p1276,0.125,133
p1277,0.125,134
p1278,0.125,135
p1279,0.125,136
p1280,0.125,137
p1281,0.125,138
p1282,0.125,139
p1283,0.125,140
p1284,0.125,141
p1285,0.125,142
p1286,0.125,143
p1287,0.125,144
p1288,0.125,145
p1289,0.125,146
p1290,0.125,147
p1291,0.125,148
p1292,0.125,149
p1293,0.125,150
p1294,0.125,151
p1295,0.125,152
p1296,0.125,153
p1297,0.125,154
p1298,0.125,155
p1299,0.125,156
p1300,0.125,157
p1301,0.125,158
p1302,0.125,159
p1303,0.125,160
p1304,0.125,161
p1305,0.125,162
p1306,0.125,163
p1307,0.125,164
p1308,0.125,165
p1309,0.125,166
p1310,0.125,167
p1311,0.125,168
p1312,0.125,169
p1313,0.125,170
p1314,0.125,171
p1315,0.125,172
p1316,0.125,173
p1317,0.125,174
p1318,0.125,175
p1319,0.125,176
p1320,0.125,177
p1321,0.125,178
p1322,0.125,179
p1323,0.125,180
p1324,0.125,181
p1325,0.125,182
p1326,0.125,183
p1327,0.125,184
p1328,0.125,185
p1329,0.125,186
p1330,0.125,187
p1331,0.125,188
p1332,0.125,189
p1333,0.125,190
p1334,0.125,191
p1335,0.125,192
p1336,0.125,193
p1337,0.125,194
p1338,0.125,195
p1339,0.125,196
p1340,0.125,197
p1341,0.125,198
p1342,0.125,199
p1343,0.125,200
