id,k,np
p1023,0.07,122
p1024,0.07,123
p1025,0.07,124
p1026,0.07,125
p1027,0.07,126
p1028,0.07,127
p1029,0.07,128
p1030,0.07,129
p1031,0.07,130
p1032,0.08,2
p1033,0.08,3
p1034,0.08,4
p1035,0.08,5
p1036,0.08,6
p1037,0.08,7
p1038,0.08,8
p1039,0.08,9
p1040,0.08,10
p1041,0.08,11
p1042,0.08,12
p1043,0.08,13
p1044,0.08,14
p1045,0.08,15
p1046,0.08,16
p1047,0.08,17
p1048,0.08,18
p1049,0.08,19
p1050,0.08,20
p1051,0.08,21
p1052,0.08,22
p1053,0.08,23
p1054,0.08,24
p1055,0.08,25
p1056,0.08,26
p1057,0.08,27
p1058,0.08,28
p1059,0.08,29
p1060,0.08,30
p1061,0.08,31
p1062,0.08,32
p1063,0.08,33
p1064,0.08,34
p1065,0.08,35
p1066,0.08,36
p1067,0.08,37
p1068,0.08,38
p1069,0.08,39
p1070,0.08,40
p1071,0.08,41
p1072,0.08,42
p1073,0.08,43
p1074,0.08,44
p1075,0.08,45
p1076,0.08,46
p1077,0.08,47
p1078,0.08,48
p1079,0.08,49
p1080,0.08,50
p1081,0.08,51
p1082,0.08,52
p1083,0.08,53
p1084,0.08,54
p1085,0.08,55
p1086,0.08,56
p1087,0.08,57
p1088,0.08,58
p1089,0.08,59
p1090,0.08,60
p1091,0.08,61
p1092,0.08,62
p1093,0.08,63
p1094,0.08,64
p1095,0.08,65
p1096,0.08,66
p1097,0.08,67
p1098,0.08,68
p1099,0.08,69
p1100,0.08,70
p1101,0.08,71
p1102,0.08,72
p1103,0.08,73
p1104,0.08,74
p1105,0.08,75
p1106,0.08,76
p1107,0.08,77
p1108,0.08,78
p1109,0.08,79
p1110,0.08,80
p1111,0.08,81
p1112,0.08,82
p1113,0.08,83
p1114,0.08,84
p1115,0.08,85
p1116,0.08,86
p1117,0.08,87
p1118,0.08,88
p1119,0.08,89
p1120,0.08,90
p1121,0.08,91
p1122,0.08,92
p1123,0.08,93
p1124,0.08,94
p1125,0.08,95
p1126,0.08,96
p1127,0.08,97
p1128,0.08,98
p1129,0.08,99
p1130,0.08,100
p1131,0.08,101
p1132,0.08,102
p1133,0.08,103
p1134,0.08,104
p1135,0.08,105
p1136,0.08,106
p1137,0.08,107
p1138,0.08,108
p1139,0.08,109
p1140,0.08,110
p1141,0.08,111
p1142,0.08,112
p1143,0.08,113
p1144,0.08,114
p1145,0.08,115
p1146,0.08,116
p1147,0.08,117
p1148,0.08,118
p1149,0.08,119
p1150,0.08,120
p1151,0.08,121
p1152,0.08,122
p1153,0.08,123
p1154,0.08,124
p1155,0.08,125
p1156,0.08,126
p1157,0.08,127
p1158,0.08,128
p1159,0.08,129
p1160,0.08,130
p1161,0.09,2
p1162,0.09,3
p1163,0.09,4
p1164,0.09,5
p1165,0.09,6
p1166,0.09,7
p1167,0.09,8
p1168,0.09,9
p1169,0.09,10
p1170,0.09,11
p1171,0.09,12
p1172,0.09,13
p1173,0.09,14
p1174,0.09,15
p1175,0.09,16
p1176,0.09,17
p1177,0.09,18
p1178,0.09,19
p1179,0.09,20
p1180,0.09,21
p1181,0.09,22
p1182,0.09,23
p1183,0.09,24
p1184,0.09,25
p1185,0.09,26
p1186,0.09,27
p1187,0.09,28
p1188,0.09,29
p1189,0.09,30
p1190,0.09,31
p1191,0.09,32
p1192,0.09,33
p1193,0.09,34
p1194,0.09,35
p1195,0.09,36
p1196,0.09,37
p1197,0.09,38
p1198,0.09,39
p1199,0.09,40
p1200,0.09,41
p1201,0.09,42
p1202,0.09,43
p1203,0.09,44
p1204,0.09,45
p1205,0.09,46
p1206,0.09,47
p1207,0.09,48
p1208,0.09,49
p1209,0.09,50
p1210,0.09,51
p1211,0.09,52
p1212,0.09,53
p1213,0.09,54
p1214,0.09,55
p1215,0.09,56
p1216,0.09,57
p1217,0.09,58
p1218,0.09,59
p1219,0.09,60
p1220,0.09,61
p1221,0.09,62
p1222,0.09,63
p1223,0.09,64
p1224,0.09,65
p1225,0.09,66
p1226,0.09,67
p1227,0.09,68
p1228,0.09,69
p1229,0.09,70
p1230,0.09,71
p1231,0.09,72
p1232,0.09,73
p1233,0.09,74
p1234,0.09,75
p1235,0.09,76
p1236,0.09,77
p1237,0.09,78
p1238,0.09,79
p1239,0.09,80
p1240,0.09,81
p1241,0.09,82
p1242,0.09,83
p1243,0.09,84
p1244,0.09,85
p1245,0.09,86
p1246,0.09,87
p1247,0.09,88
p1248,0.09,89
p1249,0.09,90
p1250,0.09,91
p1251,0.09,92
p1252,0.09,93
p1253,0.09,94
p1254,0.09,95
p1255,0.09,96
p1256,0.09,97
p1257,0.09,98
p1258,0.09,99
p1259,0.09,100
p1260,0.09,101
p1261,0.09,102
p1262,0.09,103
p1263,0.09,104
p1264,0.09,105
p1265,0.09,106
p1266,0.09,107
p1267,0.09,108
p1268,0.09,109
p1269,0.09,110
p1270,0.09,111
p1271,0.09,112
p1272,0.09,113
p1273,0.09,114
p1274,0.09,115
p1275,0.09,116
p1276,0.09,117
p1277,0.09,118
p1278,0.09,119
p1279,0.09,120
p1280,0.09,121
p1281,0.09,122
p1282,0.09,123
p1283,0.09,124
p1284,0.09,125
p1285,0.09,126
p1286,0.09,127
p1287,0.09,128
p1288,0.09,129
p1289,0.09,130
p1290,0.1,2
p1291,0.1,3
p1292,0.1,4
p1293,0.1,5
p1294,0.1,6
p1295,0.1,7
p1296,0.1,8
p1297,0.1,9
p1298,0.1,10
p1299,0.1,11
p1300,0.1,12
p1301,0.1,13
p1302,0.1,14
p1303,0.1,15
p1304,0.1,16
p1305,0.1,17
p1306,0.1,18
p1307,0.1,19
p1308,0.1,20
p1309,0.1,21
p1310,0.1,22
p1311,0.1,23
p1312,0.1,24
p1313,0.1,25
p1314,0.1,26
p1315,0.1,27
p1316,0.1,28
p1317,0.1,29
p1318,0.1,30
p1319,0.1,31
p1320,0.1,32
p1321,0.1,33
p1322,0.1,34
p1323,0.1,35
p1324,0.1,36
p1325,0.1,37
p1326,0.1,38
p1327,0.1,39
p1328,0.1,40
p1329,0.1,41
p1330,0.1,42
p1331,0.1,43
p1332,0.1,44
